round_index,slot,role,participant_id,arrival_offset_ms
7,138,component,61,0.700951
7,138,component,64,0.710011
7,138,component,66,0.716925
7,138,component,69,0.720024
7,138,component,63,0.721931
7,138,component,68,0.725985
7,138,component,70,0.727892
7,138,component,65,0.742912
7,138,component,67,0.743866
7,138,component,73,0.751972
7,138,component,75,0.753880
7,138,component,71,0.774860
7,138,component,76,0.785828
7,138,component,77,0.794888
7,138,component,72,0.799894
7,138,component,74,0.807047
7,138,component,79,0.814915
7,138,component,84,0.814915
7,138,component,85,0.815868
7,138,component,82,0.823975
7,138,component,81,0.830889
7,138,component,80,0.838995
7,138,component,83,0.841856
7,138,component,78,0.843048
7,138,component,88,0.856876
7,138,component,87,0.857830
7,138,component,89,0.876904
7,138,component,90,0.877857
7,138,component,86,0.880957
7,138,proxy,4,95.600843
7,138,proxy,36,95.861912
7,138,proxy,13,96.055984
7,138,proxy,2,96.231937
7,138,proxy,21,96.241951
7,138,proxy,39,96.287012
7,138,proxy,17,96.308947
7,138,proxy,35,96.338987
7,138,proxy,0,96.585989
7,138,proxy,25,96.585989
7,138,proxy,12,96.590042
7,138,proxy,34,96.616030
7,138,proxy,9,96.714973
7,138,proxy,23,96.741915
7,138,proxy,31,96.776009
7,138,proxy,38,96.796036
7,138,proxy,20,96.814871
7,138,proxy,6,96.827984
7,138,proxy,10,96.827984
7,138,proxy,14,97.154856
7,138,proxy,24,97.661018
